Compound.Type,Column,Compound.Name,Compound.Name_old,Compound.Name_figure,Compound.Name_SQL,QE.LinRange,QE.RF.ratio,QE.RSD,TQS.LinRange,TQS.RF.ratio,TQS.RSD,Emperical.Formula,RT..min.,m.z,ionization_form,z,C0,ChEBI,ChEBI_old,Fraction1,Fraction2,Liquid.Fraction,Conc..uM,HILICMix,Date.added,KEGGNAME,IUPAC.Name,InChI.Key.Name,Canon.SMILES.Name,Classyfire
Lignin,RP,Ethyl aminobenzoate,Ethyl 3 aminobenzoate,Ethyl aminobenzoate,Ethyl aminobenzoate,5 - >10000,0.924,3,<0.5 - 500,0.38,27.6,C9H11NO2,3.365,166.086804,[M+H],1,cpd:C07527,NA,CHEBI:116735,CyanoAq,CyanoDCM,Aq,0.25,NA,160401,Benzocaine; Ethyl aminobenzoate,ethyl 4-aminobenzoate,BLFLLBZGZJTVJG-UHFFFAOYSA-N,CCOC(=O)C1=CC=C(C=C1)N,kingdom: Organic_compounds; superclass: Benzenoids; class: Benzene_and_substituted_derivatives; subclass: Benzoic_acids_and_derivatives; level 5: Benzoic_acid_esters; level 6: Benzoic_acid_esters; level 7: Benzoic_acid_esters; level 8: Benzoic_acid_esters
Lignin,RP,Ferulic acid,Ferulic Acid,Ferulic acid,Ferulic acid,50 - >10000,0.852,4.5,5 - >10000,0.611,12.2,C10H10O4,5.97,195.065735,[M+H],1,cpd:C01494,NA,CHEBI:17620,CyanoAq,CyanoDCM,Aq,0.25,NA,160401,Ferulate; Ferulic acid; 4-Hydroxy-3-methoxycinnamic acid; 3-Methoxy-4-hydroxy-trans-cinnamate; 4-Hydroxy-3-methoxycinnamate,(E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,COC1=C(C=CC(=C1)C=CC(=O)O)O,NA
Lignin,RP,Syringaldehyde,Syringaldehyde,Syringaldehyde,Syringaldehyde,50 - >10000,0.823,10.1,50 - >10000,0.67,5.2,C9H10O4,5.48,183.065735,[M+H],1,NA,NA,CHEBI:67380,CyanoAq,CyanoDCM,Aq,0.25,NA,160401,NA,"4-hydroxy-3,5-dimethoxybenzaldehyde",KCDXJAYRVLXPFO-UHFFFAOYSA-N,COC1=CC(=CC(=C1O)OC)C=O,NA
Lignin,RP,Syringic acid,Syringic Acid,Syringic acid,Syringic acid,500 - >10000,0.716,9.7,50 - >10000,1.125,8.9,C9H10O5,4.88,199.06065,[M+H],1,cpd:C10833,NA,CHEBI:68329,CyanoAq,CyanoDCM,Aq,0.25,NA,160401,"Syringic acid; Syringate; 4-Hydroxy-3,5-dimethoxybenzoate; Gallic acid 3,5-dimethyl ether","4-hydroxy-3,5-dimethoxybenzoic acid",JMSVCTWVEWCHDZ-UHFFFAOYSA-N,COC1=CC(=CC(=C1O)OC)C(=O)O,NA
Lignin,RP,Vanillin,Vanillin,Vanillin,Vanillin,50 - >10000,0.937,7.9,50 - >10000,0.749,4.7,C8H8O3,4.69,153.05517,[M+H],1,cpd:C00755,NA,CHEBI:18346,CyanoAq,CyanoDCM,Aq,0.25,NA,160401,4-Hydroxy-3-methoxy-benzaldehyde; Vanillin; Vanillaldehyde; 4-Hydroxy-3-methoxybenzaldehyde,4-hydroxy-3-methoxybenzaldehyde,MWOOGOJBHIARFG-UHFFFAOYSA-N,COC1=C(C=CC(=C1)C=O)O,NA
New,RP,L-Cysteinylglycine,Cys-Gly,Cys-Gly,Cys Gly,NA,NA,NA,NA,NA,NA,C5H10N2O3S,0.72,179.04904,[M+H],1,cpd:C01419,NA,CHEBI:4047,CyanoAq,CyanoDCM,Aq,0.25,NA,170331,Cys-Gly; L-Cysteinylglycine,2-[[(2R)-2-amino-3-sulfanylpropanoyl]amino]acetic acid,ZUKPVRWZDMRIEO-VKHMYHEASA-N,C(C(C(=O)NCC(=O)O)N)S,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Peptides; level 6: Dipeptides; level 7: Dipeptides; level 8: Dipeptides
New2,RP,O-Acetylcarnitine,Acetyl-L-carnitine,Acetyl-L-carnitine,Acetyl L carnitine,NA,NA,NA,NA,NA,NA,C9H17NO4,0.82,204.123584,[M+H],1,cpd:C02571,CHEBI:15960,CHEBI:57589,CyanoAq,CyanoDCM,Aq,0.25,NA,180130,O-Acetylcarnitine; O-Acetyl-L-carnitine,(3R)-3-acetyloxy-4-(trimethylazaniumyl)butanoate,RDHQFKQIGNGIED-MRVPVSSYSA-N,CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Fatty_Acyls; subclass: Fatty_acid_esters; level 5: Acyl_carnitines; level 6: Acyl_carnitines; level 7: Acyl_carnitines; level 8: Acyl_carnitines
New2,RP,Glycerophosphocholine,Glycerophosphocholine,GPP,Glycerophosphocholine,NA,NA,NA,NA,NA,NA,C8H21NO6P,0.66,258.110652,[M],1,cpd:C00670,CHEBI:16870,CHEBI:36313,CyanoAq,CyanoDCM,Aq,NA,NA,180130,sn-Glycero-3-phosphocholine; Glycerophosphocholine,"[(2R)-2,3-dihydroxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",SUHOQUVVVLNYQR-MRVPVSSYSA-N,C[N+](C)(C)CCOP(=O)([O-])OCC(CO)O,kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Glycerophospholipids; subclass: Glycerophosphocholines; level 5: Glycerophosphocholines; level 6: Glycerophosphocholines; level 7: Glycerophosphocholines; level 8: Glycerophosphocholines
New2,RP,O-Propionylcarnitine,Propionyl-L-carnitine,O-Propionylcarnitine,O Propionylcarnitine,NA,NA,NA,NA,NA,NA,C10H19NO4,0.99,218.139234,[M+H],1,cpd:C03017,CHEBI:28867,CHEBI:74974,CyanoAq,CyanoDCM,Aq,0.25,NA,180130,O-Propanoylcarnitine; O-Propionylcarnitine,3-propanoyloxy-4-(trimethylazaniumyl)butanoate,UFAHZIUFPNSHSL-UHFFFAOYSA-N,CCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Fatty_Acyls; subclass: Fatty_acid_esters; level 5: Acyl_carnitines; level 6: Acyl_carnitines; level 7: Acyl_carnitines; level 8: Acyl_carnitines
New2,RP,Agmatine,Agmatine,Agmatine,Agmatine,NA,NA,NA,NA,NA,NA,C5H14N4,0.62,131.129671,[M+H],1,cpd:C00179,NA,CHEBI:17431,CyanoAq,CyanoDCM,Aq,0.5,NA,180130,Agmatine; (4-Aminobutyl) guanidine,2-(4-aminobutyl)guanidine,QYPPJABKJHAVHS-UHFFFAOYSA-N,C(CCN=C(N)N)CN,NA
New2,RP,beta-Apo-8'-carotenal,B-apo-8'-carotenal,Apocarotenal,Apocarotenal,NA,NA,NA,NA,NA,NA,C30H40O,14.56,417.31574,[M+H],1,NA,NA,NA,CyanoDCM,CyanoAq,Org,NA,NA,NA,NA,"2-(2,6,6-trimethylcyclohexen-1-yl)acetaldehyde",VHTFHZGAMYUZEP-UHFFFAOYSA-N,CC1=C(C(CCC1)(C)C)CC=O,NA
New2,RP,beta-Cyclocitral,B-cyclocitral,b-Cyclocitral,beta Cyclocitral,NA,NA,NA,NA,NA,NA,C10H16O,8.39,153.12794,[M+H],1,NA,NA,CHEBI:53177,CyanoDCM,CyanoAq,Org,NA,NA,NA,NA,"2,6,6-trimethylcyclohexene-1-carbaldehyde",MOQGCGNUWBPGTQ-UHFFFAOYSA-N,CC1=C(C(CCC1)(C)C)C=O,NA
New2,RP,beta-Ionine,B-ionine,b-Ionine,beta Ionine,NA,NA,NA,NA,NA,NA,C13H20O,9.71,193.15924,[M+H],1,NA,NA,CHEBI:32325,CyanoDCM,CyanoAq,Org,NA,NA,NA,NA,NA,NA,NA,NA
New2,RP,beta-Ionylidene acetaldehyde,B-ionylidene-acetaldehyde,b-Ionylidene acetaldehyde,beta Ionylidene acetaldehyde,NA,NA,NA,NA,NA,NA,C15H22O,10.85,219.17489,[M+H],1,NA,NA,NA,CyanoDCM,CyanoAq,Org,NA,NA,NA,NA,"(2E,4E)-3-methyl-5-(2,6,6-trimethylcyclohexen-1-yl)penta-2,4-dienal",OPSSCPNCFKJCFR-ANKZSMJWSA-N,CC1=C(C(CCC1)(C)C)C=CC(=CC=O)C,NA
New2,RP,Butyrylcarnitine,Butyryl-L-carnitine,Butyryl-L-carnitine,Butyrylcarnitine,NA,NA,NA,NA,NA,NA,C11H21NO4,1.34,232.154884,[M+H],1,NA,NA,CHEBI:21949,CyanoAq,CyanoDCM,Aq,0.25,NA,180130,NA,(3R)-3-butanoyloxy-4-(trimethylazaniumyl)butanoate,QWYFHHGCZUCMBN-SECBINFHSA-N,CCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Fatty_Acyls; subclass: Fatty_acid_esters; level 5: Acyl_carnitines; level 6: Acyl_carnitines; level 7: Acyl_carnitines; level 8: Acyl_carnitines
New2,RP,Decarboxylated S-Adenosylmethionine,Decarboxylated S-Adenosylmethionine,D-SAM,Decarboxylated S Adenosylmethionine,NA,NA,NA,NA,NA,NA,C14H23N6O3S,0.68,355.155236,[M],1,NA,NA,NA,CyanoAq,CyanoDCM,Aq,0.5,NA,180130,NA,"3-aminopropyl-[[(2S,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl]-methylsulfanium",ZUNBITIXDCPNSD-LSRJEVITSA-N,C[S+](CCCN)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,NA
New2,RP,Glucosamine,Glucosamine,Glucosamine,Glucosamine,NA,NA,NA,NA,NA,NA,C6H13NO5,0.65,180.087199,[M+H],1,NA,NA,CHEBI:5417,CyanoAq,CyanoDCM,Aq,NA,NA,180130,NA,"(3R,4R,5S,6R)-3-amino-6-(hydroxymethyl)oxane-2,4,5-triol",MSWZFWKMSRAUBD-IVMDWMLBSA-N,C(C1C(C(C(C(O1)O)N)O)O)O,kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Carbohydrates_and_carbohydrate_conjugates; level 5: Monosaccharides; level 6: Hexoses; level 7: Hexoses; level 8: Hexoses
New2,RP,Homoserine lactone,Homoserine lactone,AHL,Homoserine lactone,NA,NA,NA,NA,NA,NA,C4H7NO2,0.68,102.055504,[M+H],1,cpd:C02926,NA,CHEBI:17289,CyanoAq,CyanoDCM,Aq,0.25,NA,180130,Homoserine lactone; 2-Aminobutan-4-olide,3-aminooxolan-2-one,QJPWUUJVYOJNMH-UHFFFAOYSA-N,C1COC(=O)C1N,NA
New2,RP,Indoleacrylic acid,Indoleacrylic acid,IAA,Indoleacrylic acid,NA,NA,NA,NA,NA,NA,C11H9NO2,6.76,188.071154,[M+H],1,NA,NA,CHEBI:132244,CyanoAq,CyanoDCM,Aq,0.5,NA,180130,NA,3-(1H-indol-3-yl)prop-2-enoic acid,PLVPPLCLBIEYEA-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CN2)C=CC(=O)O,NA
New2,RP,Isobutyryl-carnitine,Isobutyryl-L-carnitine,Isobutyryl-L-carnitine,Isobutyryl L carnitine,NA,NA,NA,NA,NA,NA,C11H21NO4,1.3,232.154884,[M+H],1,NA,NA,CHEBI:84838,CyanoAq,CyanoDCM,Aq,4,NA,180130,NA,(3R)-3-(2-methylpropanoyloxy)-4-(trimethylazaniumyl)butanoate,LRCNOZRCYBNMEP-SECBINFHSA-N,CC(C)C(=O)OC(CC(=O)[O-])C[N+](C)(C)C,NA
New2,RP,Ophthalmic acid,Ophthalmic Acid,Ophthalmate,Ophthalmic acid,NA,NA,NA,NA,NA,NA,C11H19N3O6,0.77,290.135212,[M+H],1,NA,NA,CHEBI:84058,CyanoAq,CyanoDCM,Aq,NA,NA,180130,NA,(2S)-2-amino-5-[[(2S)-1-(carboxymethylamino)-1-oxobutan-2-yl]amino]-5-oxopentanoic acid,JCMUOFQHZLPHQP-BQBZGAKWSA-N,CCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Peptides; level 6: Oligopeptides; level 7: Oligopeptides; level 8: Oligopeptides
New2,RP,S-Farnesyl-L-cysteine methyl ester,S-Farnesyl-L-cysteine Methyl Ester,S-Fcme,S Fcme,NA,NA,NA,NA,NA,NA,C19H33NO2S,10.43,340.231026,[M+H],1,NA,NA,CHEBI:90511,CyanoAq,CyanoDCM,Aq,0.5,NA,180130,NA,"methyl (2R)-2-amino-3-[(2E,6E)-3,7,11-trimethyldodeca-2,6,10-trienyl]sulfanylpropanoate",SIEHZFPZQUNSAS-GCVUPTOQSA-N,CC(=CCCC(=CCCC(=CCSCC(C(=O)OC)N)C)C)C,kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Prenol_lipids; subclass: Sesquiterpenoids; level 5: Sesquiterpenoids; level 6: Sesquiterpenoids; level 7: Sesquiterpenoids; level 8: Sesquiterpenoids
New3,RP,Deoxyadenosine,Deoxyadenosine,Deoxyadenosine,Deoxyadenosine,NA,NA,NA,NA,NA,NA,C10H13N5O3,1.14,252.109665,[M+H],1,cpd:C00559,CHEBI:NA,CHEBI:17256,CyanoAq,CyanoDCM,Aq,NA,NA,180701,Deoxyadenosine; 2'-Deoxyadenosine,"(2R,3S,5R)-5-(6-aminopurin-9-yl)-2-(hydroxymethyl)oxolan-3-ol",OLXZPDWKRNYJJZ-RRKCRQDMSA-N,C1C(C(OC1N2C=NC3=C(N=CN=C32)N)CO)O,kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Purine_nucleosides; subclass: Purine_2-deoxyribonucleosides; level 5: Purine_2-deoxyribonucleosides; level 6: Purine_2-deoxyribonucleosides; level 7: Purine_2-deoxyribonucleosides; level 8: Purine_2-deoxyribonucleosides
New3,RP,Arsenobetaine,Arsenobetaine,Arsenobetaine,Arsenobetaine,NA,NA,NA,NA,NA,NA,C5H11AsO2,0.72,179.005326,[M+H],1,cpd:C19331,NA,CHEBI:82392,CyanoAq,CyanoDCM,Aq,NA,NA,180701,Arsenobetaine,2-trimethylarsoniumylacetate,SPTHHTGLGVZZRH-UHFFFAOYSA-N,C[As+](C)(C)CC(=O)[O-],kingdom: Organic_compounds; superclass: Organometallic_compounds; class: Organometalloid_compounds; subclass: Organoarsenic_compounds; level 5: Tetraorganoarsonium_salts; level 6: Tetraorganoarsonium_salts; level 7: Tetraorganoarsonium_salts; level 8: Tetraorganoarsonium_salts
New3,RP,Dexpanthenol,Dexpanthenol,Dexpanthenol,Dexpanthenol,NA,NA,NA,NA,NA,NA,C9H19NO4,1.11,206.139234,[M+H],1,cpd:C05944,NA,CHEBI:27373,CyanoAq,CyanoDCM,Aq,0.25,NA,180701,"Pantothenol; (R)-2,4-Dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide; Dexpanthenol; 2,4-Dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide; (+)-Panthenol; Bepanthen; Bepanthene; Bepantol; D-(+)-2,4-Dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutyramide; Cozyme; D(+)-Panthenol; D(+)-Pantothenyl alcohol; D-P-A Injection; D-Panthenol; d-Pantothenol; d-Pantothenyl alcohol; Ilopan; Motilyn; Panadon; Panthenol; Panthoderm; Pantol; Pantothenyl alcohol; N-Pantoyl-propanolamine; Provitamin B; Synapan; Thenalton; Zentinic","(2R)-2,4-dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide",SNPLKNRPJHDVJA-ZETCQYMHSA-N,CC(C)(CO)C(C(=O)NCCCO)O,kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Alcohols_and_polyols; level 5: Secondary_alcohols; level 6: Secondary_alcohols; level 7: Secondary_alcohols; level 8: Secondary_alcohols
New3,RP,Inosine,Inosine,Inosine,Inosine,NA,NA,NA,NA,NA,NA,C10H12N4O5,1.01,269.088596,[M+H],1,cpd:C00294,NA,CHEBI:17596,CyanoAq,CyanoDCM,Aq,NA,NA,180701,Inosine,"9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one",UGQMRVRMYYASKQ-KQYNXXCUSA-N,C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O,kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Purine_nucleosides; subclass: Purine_nucleosides; level 5: Purine_nucleosides; level 6: Purine_nucleosides; level 7: Purine_nucleosides; level 8: Purine_nucleosides
New3,RP,Hordenine,Hordenine,Hordenine,Hordenine,NA,NA,NA,NA,NA,NA,C10H15NO,1.29,166.123189,[M+H],1,cpd:C06199,NA,CHEBI:5764,CyanoAq,CyanoDCM,Aq,NA,NA,180701,Hordenine; 4-[2-(Dimethylamino)ethyl]phenol,4-[2-(dimethylamino)ethyl]phenol,KUBCEEMXQZUPDQ-UHFFFAOYSA-N,CN(C)CCC1=CC=C(C=C1)O,kingdom: Organic_compounds; superclass: Benzenoids; class: Benzene_and_substituted_derivatives; subclass: Phenethylamines; level 5: Phenethylamines; level 6: Phenethylamines; level 7: Phenethylamines; level 8: Phenethylamines
New3,RP,Allopurinol,Allopurinol,Allopurinol,Allopurinol,NA,NA,NA,NA,NA,NA,C5H4N4O,1.27,137.046336,[M+H],1,NA,NA,CHEBI:40279,CyanoAq,CyanoDCM,Aq,0.25,NA,180701,NA,"1,5-dihydropyrazolo[3,4-d]pyrimidin-4-one",OFCNXPDARWKPPY-UHFFFAOYSA-N,C1=NNC2=C1C(=O)NC=N2,kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Pyrazolopyrimidines; subclass: Pyrazolo[34-d]pyrimidines; level 5: Pyrazolo[34-d]pyrimidines; level 6: Pyrazolo[34-d]pyrimidines; level 7: Pyrazolo[34-d]pyrimidines; level 8: Pyrazolo[34-d]pyrimidines
Phospholipid synthesis,RP,1-Palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,"1,2,3-phosphocholine",POPC,500 - >10000,1.497,15.6,50 - >10000,0.425,14.5,C42H82NO8P,14.1,760.585632,[M+H],1,NA,NA,NA,CyanoAq,CyanoDCM,Org,0.25,NA,160401,NA,[(2R)-3-hexadecanoyloxy-2-[(Z)-octadec-9-enoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate,WTJKGGKOPKCXLL-VYOBOKEXSA-N,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC,NA
Phospholipid synthesis,RP,1-Stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,"1,2,3-phosphoethanolamine",SOPE,500 - >10000,0.591,13.6,50 - >10000,0.431,13.2,C41H79NO8P,14.9,744.554331,[M],1,NA,NA,CHEBI:75038,CyanoAq,CyanoDCM,Org,0.25,NA,160401,NA,[(2R)-3-[2-aminoethoxy(hydroxy)phosphoryl]oxy-2-[(Z)-octadec-9-enoyl]oxypropyl] octadecanoate,JQKOHRZNEOQNJE-DJEJVYNPSA-N,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCCC=CCCCCCCCC,NA
Phytohormone,RP,Indole-3-carboxylic acid,Indole 3 carboxylic acid,Indole-3-carboxylic acid,Indole 3 carboxylic acid,50 - >10000,0.92,13.5,5 - >10000,0.824,3.7,C9H7NO2,5.44,162.055503,[M+H],1,cpd:C19837,CHEBI:NA,CHEBI:24809,CyanoAq,CyanoDCM,Aq,0.25,NA,160401,Indole-3-carboxylate; Indole-3-carboxylic acid,1H-indole-3-carboxylic acid,KMAKOBLIOCQGJP-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CN2)C(=O)O,NA
Phytohormone,RP,Indolelactate,Indole 3 Lactic Acid,Indoleactate,Indolelactate,50 - >10000,1.867,1.5,5 - >10000,0.843,4.8,C11H11NO3,4.65,206.081719,[M+H],1,cpd:C02043,CHEBI:17282,CHEBI:24813,CyanoAq,CyanoDCM,Aq,0.25,NA,160401,Indolelactate,2-hydroxy-3-(1H-indol-3-yl)propanoic acid,XGILAAMKEQUXLS-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)O,NA
Phytohormone,RP,Indole-3-methyl acetate,Indole 3 methyl acetate,Indole-3-methyl acetate,Indole 3 methyl acetate,50 - >10000,0.933,5.1,5 - >10000,0.754,2.6,C11H11NO2,7.31,190.086804,[M+H],1,cpd:C20635,CHEBI:NA,CHEBI:72782,CyanoAq,CyanoDCM,Aq,0.25,NA,160401,Methyl (indol-3-yl)acetate,methyl 2-(1H-indol-3-yl)acetate,KTHADMDGDNYQRX-UHFFFAOYSA-N,COC(=O)CC1=CNC2=CC=CC=C21,NA
Phytohormone,RP,N6-Dimethylallyladenine,2iP,2iP,Dimethylallyladenine,nd,nd,nd,5 - >10000,0.587,13.3,C10H13N5,4.18,NA,NA,-1,cpd:C04083,NA,CHEBI:17660,CyanoAq,CyanoDCM,Aq,0.25,NA,160401,"N6-(delta2-Isopentenyl)-adenine; N6-(3-Methylbut-2-enyl)adenine; 6-(gamma,gamma-Dimethylallylamino)purine; N6-Dimethylallyladenine",N-(3-methylbut-2-enyl)-7H-purin-6-amine,HYVABZIGRDEKCD-UHFFFAOYSA-N,CC(=CCNC1=NC=NC2=C1NC=N2)C,NA
Phytohormone,RP,Indolebutyric acid,3 Indolebutyric Acid,Indolebutyric acid,Indolebutyric acid,50 - >10000,1.289,3.4,5 - >10000,1.174,1.1,C12H13NO2,7.45,204.10191,[M+H],1,cpd:C11284,NA,CHEBI:33070,CyanoAq,CyanoDCM,Aq,0.25,NA,160401,Indolebutyric acid; Indole-3-butyric acid; IBA,4-(1H-indol-3-yl)butanoic acid,JTEDVYBZBROSJT-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CN2)CCCC(=O)O,NA
Phytohormone,RP,3-Indolepropionic acid,3 Indolepropionic Acid,3 Indolepropionic acid,Indolepropionic acid,50 - >10000,1.028,2.7,5 - >10000,0.902,2.3,C11H11NO2,6.66,190.08626,[M+H],1,NA,NA,NA,CyanoAq,CyanoDCM,Aq,0.25,NA,160401,NA,3-(1H-indol-3-yl)propanoic acid,GOLXRNDWAUTYKT-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CN2)CCC(=O)O,NA
Phytohormone,RP,3-Indoleacetonitrile,3-Indoleacetonitrile,3-Indoleacetonitrile,Indoleacetonitrile,NA,0.919,22.7,NA,0.885,3.3,C10H8N2,7.09,157.076573,[M+H],1,cpd:C02938,NA,CHEBI:17566,CyanoAq,CyanoDCM,Aq,0.75,NA,160401,3-Indoleacetonitrile; Indol-3-ylacetonitrile; Indole-3-acetonitrile; (Indol-3-yl)acetonitrile,2-(1H-indol-3-yl)acetonitrile,DMCPFOBLJMLSNX-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CN2)CC#N,NA
Phytohormone,RP,Abscisic acid,Abscisic Acid,Abscisic acid,Abscisic acid,5 - >10000,1,4.3,50 - >10000,0.828,1.8,C15H20O4,6.7,247.13342,[M-OH],1,cpd:C06082,NA,CHEBI:2365,CyanoAq,CyanoDCM,Aq,0.25,NA,160401,Abscisate; Abscisic acid; (+)-Abscisic acid; ABA,"(2Z,4E)-5-[(1S)-1-hydroxy-2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl]-3-methylpenta-2,4-dienoic acid",JLIDBLDQVAYHNE-YKALOCIXSA-N,CC1=CC(=O)CC(C1(C=CC(=CC(=O)O)C)O)(C)C,NA
Phytohormone,RP,Camalexin,Camalexin,Camalexin,Camalexin,<0.5 - >10000,0.918,2.2,<0.5 - 500,0.937,1.2,C11H8N2S,6.96,201.048645,[M+H],1,NA,NA,CHEBI:22990,CyanoAq,CyanoDCM,Aq,0.25,NA,160401,NA,"2-(1H-indol-3-yl)-1,3-thiazole",IYODIJVWGPRBGQ-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CN2)C3=NC=CS3,NA
Phytohormone,RP,Dihydrozeatin,DHZ,DHZ,Dihydrozeatin,nd,nd,nd,50 - 50,0.147,54.5,C10H15N5O,2.01,NA,NA,-1,cpd:C02029,NA,CHEBI:17874,CyanoAq,CyanoDCM,Aq,0.25,NA,160401,Dihydrozeatin; 2-Methyl-4-(1H-purin-6-ylamino)butan-1-ol; N6-(4-Hydroxyisopentanyl)adenine,2-methyl-4-(7H-purin-6-ylamino)butan-1-ol,XXFACTAYGKKOQB-UHFFFAOYSA-N,CC(CCNC1=NC=NC2=C1NC=N2)CO,NA
Phytohormone,RP,Gibberellin A3,GA3,GA3,Gibberellin A3,nd,nd,nd,5 - >10000,0.437,15.7,C19H22O6,5.16,NA,NA,-1,cpd:C01699,NA,CHEBI:28833,CyanoAq,CyanoDCM,Aq,0.25,NA,160401,Gibberellin A3; Gibberellic acid; Gibberellin,"(1R,2R,5S,8S,9S,10R,11S,12S)-5,12-dihydroxy-11-methyl-6-methylidene-16-oxo-15-oxapentacyclo[9.3.2.15,8.01,10.02,8]heptadec-13-ene-9-carboxylic acid",IXORZMNAPKEEDV-OBDJNFEBSA-N,CC12C(C=CC3(C1C(C45C3CCC(C4)(C(=C)C5)O)C(=O)O)OC2=O)O,NA
Phytohormone,RP,Gibberellin A4,GA4,GA4,Gibberellin A4,nd,nd,nd,5 - >10000,0.603,4.4,C19H24O5,8.18,NA,NA,-1,cpd:C11864,NA,CHEBI:32902,CyanoAq,CyanoDCM,Aq,0.25,NA,160401,Gibberellin A4,"(1R,2R,5R,8R,9S,10R,11S,12S)-12-hydroxy-11-methyl-6-methylidene-16-oxo-15-oxapentacyclo[9.3.2.15,8.01,10.02,8]heptadecane-9-carboxylic acid",RSQSQJNRHICNNH-NFMPGMCNSA-N,CC12C(CCC3(C1C(C45C3CCC(C4)C(=C)C5)C(=O)O)OC2=O)O,NA
Phytohormone,RP,Indole-3-acetic acid,IAA,IAA,IAA,50 - >10000,0.904,3.2,<0.5 - >10000,0.757,4.4,C10H9NO2,5.41,176.071154,[M+H],1,cpd:C00954,NA,CHEBI:16411,CyanoAq,CyanoDCM,Aq,0.25,NA,160401,Indole-3-acetate; Indole-3-acetic acid; (Indol-3-yl)acetate; Indoleacetate; Indoleacetic acid; IAA,2-(1H-indol-3-yl)acetic acid,SEOVTRFCIGRIMH-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,NA
Phytohormone,RP,Indole-3-acetamide,Indole 3 acetamide,Indole 3 acetamide,Indole 3 acetamide,50 - >10000,0.967,3.2,5 - >10000,0.844,5.8,C10H10N2O,4.02,175.087138,[M+H],1,cpd:C02693,NA,CHEBI:16031,CyanoAq,CyanoDCM,Aq,0.25,NA,160401,(Indol-3-yl)acetamide; Indole-3-acetamide,2-(1H-indol-3-yl)acetamide,ZOAMBXDOGPRZLP-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CN2)CC(=O)N,NA
